path_name,overlapping_genes,adj_p_val
skeletal system development (GO:0001501),"['ADAMTS4', 'BCAN', 'GJA1', 'COL11A2', 'SOX6', 'HES5', 'HAPLN2']",0.17103353079148717
artery morphogenesis (GO:0048844),"['NOTCH1', 'HES1', 'VEGFA']",0.17103353079148717
morphogenesis of an epithelium (GO:0002009),"['LHX1', 'SOX8', 'SOX10']",0.17103353079148717
epithelium development (GO:0060429),"['SALL1', 'LHX1', 'SOX8', 'SOX10', 'HES5', 'VEGFA']",0.17326179217072643
renal system development (GO:0072001),"['SALL1', 'LHX1', 'LRP4', 'VEGFA']",0.17563590094957912
positive regulation of epithelial cell proliferation (GO:0050679),"['TCF7L2', 'NR4A3', 'PLXNB3', 'PTN', 'EGFR', 'VEGFA']",0.17612268895951425
eye development (GO:0001654),"['SOX2', 'MEIS1', 'MEIS2', 'HES5']",0.17612268895951425
fat cell differentiation (GO:0045444),"['NR4A2', 'TCF7L2', 'NR4A3', 'SOX8']",0.17612268895951425
angiogenesis involved in wound healing (GO:0060055),"['MCAM', 'VEGFA']",0.17612268895951425
regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001267),"['GSN', 'ST18']",0.17612268895951425
cell differentiation in spinal cord (GO:0021515),"['LHX1', 'SOX6']",0.17612268895951425
negative regulation of lymphocyte migration (GO:2000402),"['PADI2', 'APOD']",0.17612268895951425
positive regulation of non-canonical Wnt signaling pathway (GO:2000052),"['DAB2', 'NKD1']",0.17612268895951425
regulation of stem cell differentiation (GO:2000736),"['PDGFRA', 'NOTCH1', 'HES1', 'PTN', 'HES5']",0.1816994339904829
chondrocyte differentiation (GO:0002062),"['NFIB', 'SOX6', 'HES5']",0.1816994339904829
ERBB2 signaling pathway (GO:0038128),"['ERBB3', 'GAB1', 'EGFR']",0.1816994339904829
positive regulation of receptor signaling pathway via STAT (GO:1904894),"['NOTCH1', 'HES1', 'HES5']",0.1816994339904829
negative regulation of canonical Wnt signaling pathway (GO:0090090),"['SOX2', 'TCF7L2', 'DAB2', 'FRMD8', 'LRP4', 'GLI3', 'NKD1']",0.18631275887113852
muscle cell development (GO:0055001),"['MEGF10', 'HES1', 'VEGFA']",0.18772837414008697
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427),"['NOTCH1', 'HES1', 'HES5']",0.18772837414008697
regulation of transcription by RNA polymerase II (GO:0006357),"['NFIX', 'NOTCH1', 'EPAS1', 'CXXC5', 'LITAF', 'GLI3', 'EGFR', 'SOX2', 'SALL1', 'EDNRB', 'SALL3', 'ZIC1', 'HES1', 'SOX8', 'SOX6', 'HES5', 'IL33', 'TCF7L2', 'NKX6-2', 'JUP', 'PRRX1', 'EBF1', 'TFEB', 'MITF', 'ETV1', 'OLIG1', 'OLIG2', 'SOX10', 'MEIS2', 'ST18', 'POU3F3', 'RGMA', 'VEGFA', 'NR4A2', 'POMC', 'ZEB2', 'DAB2', 'MEIS1', 'NR4A3', 'IFI27', 'NFIA', 'IRF3', 'NFIB', 'LHX1', 'ID3', 'CREB5']",0.18772837414008697
epithelial cell-cell adhesion (GO:0090136),"['ITGB5', 'JUP']",0.18772837414008697
regulation of pseudopodium assembly (GO:0031272),"['CDC42EP2', 'CDC42EP1']",0.18772837414008697
eye photoreceptor cell differentiation (GO:0001754),"['NKD1', 'VEGFA']",0.18772837414008697
regulation of vascular associated smooth muscle cell migration (GO:1904752),"['DOCK5', 'NR4A3']",0.18772837414008697
neurotransmitter uptake (GO:0001504),"['SLC1A3', 'ATP1A2']",0.18772837414008697
positive regulation of pseudopodium assembly (GO:0031274),"['CDC42EP2', 'CDC42EP1']",0.18772837414008697
positive regulation of canonical Wnt signaling pathway (GO:0090263),"['ZEB2', 'JUP', 'FAM53B', 'EGFR', 'WLS', 'RNF220']",0.19111438596541758
cardiac muscle contraction (GO:0060048),"['GSN', 'TNNI1', 'ATP1A2']",0.1916457070579073
regulation of myoblast differentiation (GO:0045661),"['NOTCH1', 'SOX8', 'ZFP36L1']",0.1916457070579073
phosphatidylinositol 3-kinase signaling (GO:0014065),"['ERBB3', 'TYRO3', 'ZFP36L1']",0.1916457070579073
phosphatidylserine metabolic process (GO:0006658),"['MBOAT1', 'PLA2G4A', 'PLAAT3']",0.1916457070579073
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742),"['CLDN11', 'MAG', 'CDH20', 'CDH23', 'PLXNB3', 'DSCAML1', 'CDH19']",0.1936838454086667
anterior/posterior pattern specification (GO:0009952),"['LHX1', 'HES1', 'HES5', 'WLS']",0.1969675038996616
smoothened signaling pathway (GO:0007224),"['PKD2L1', 'GLI3', 'HES5']",0.19918014720727625
positive regulation of cold-induced thermogenesis (GO:0120162),"['GJA1', 'GATM', 'EPAS1', 'OXT', 'VEGFA']",0.19918014720727625
extracellular matrix organization (GO:0030198),"['ADAMTS4', 'BCAN', 'GSN', 'COL27A1', 'ITGB5', 'MMP15', 'ITGA10', 'COL11A2', 'PLOD1', 'MATN4']",0.19918014720727625
cardiac cell development (GO:0055006),"['NOTCH1', 'VEGFA']",0.19918014720727625
cranial nerve development (GO:0021545),"['SALL1', 'ERBB3']",0.19918014720727625
relaxation of cardiac muscle (GO:0055119),"['GSN', 'ATP1A2']",0.19918014720727625
negative regulation of myoblast differentiation (GO:0045662),"['NOTCH1', 'SOX8']",0.19918014720727625
regulation of peptidyl-serine phosphorylation (GO:0033135),"['RASSF2', 'SPRY2', 'AVP', 'EGFR', 'VEGFA']",0.20113131004237114
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339),"['CDH20', 'CDH23', 'CDH19']",0.20113131004237114
regulation of microtubule-based process (GO:0032886),"['PHLDB1', 'MAP6D1', 'TRIM36']",0.20113131004237114
endoderm formation (GO:0001706),"['ITGB5', 'MMP15', 'LHX1']",0.20113131004237114
regulation of protein import into nucleus (GO:0042306),"['JUP', 'ZIC1', 'APOD']",0.20113131004237114
platelet aggregation (GO:0070527),"['PDGFRA', 'CSRP1', 'TYRO3']",0.20113131004237114
extracellular structure organization (GO:0043062),"['ADAMTS4', 'BCAN', 'COL27A1', 'ITGB5', 'MMP15', 'ITGA10', 'COL11A2', 'MATN4']",0.20113131004237114
external encapsulating structure organization (GO:0045229),"['ADAMTS4', 'BCAN', 'COL27A1', 'ITGB5', 'MMP15', 'ITGA10', 'COL11A2', 'MATN4']",0.20490758078019158
regulation of microtubule cytoskeleton organization (GO:0070507),"['PHLDB1', 'MAP6D1', 'TRIM36']",0.2091815399123349
neural crest cell migration (GO:0001755),"['SEMA6D', 'SOX8', 'SOX10']",0.2091815399123349
regulation of gastrulation (GO:0010470),"['PHLDB1', 'LHX1']",0.2091815399123349
regulation of trophoblast cell migration (GO:1901163),"['GJA1', 'VEGFA']",0.2091815399123349
relaxation of muscle (GO:0090075),"['GSN', 'ATP1A2']",0.2091815399123349
T cell differentiation in thymus (GO:0033077),"['GLI3', 'ZFP36L1']",0.2091815399123349
vascular endothelial growth factor signaling pathway (GO:0038084),"['GAB1', 'VEGFA']",0.2091815399123349
positive regulation of cell motility (GO:2000147),"['PDGFRA', 'DAB2', 'NOTCH1', 'SEMA6D', 'SPRY2', 'VSIR', 'EGFR', 'VEGFA']",0.21513318262373973
regulation of myeloid cell differentiation (GO:0045637),"['MEIS1', 'NR4A3', 'PRKCQ', 'MEIS2']",0.21705388778766338
ventricular septum development (GO:0003281),"['NOTCH1', 'SALL1', 'HES1']",0.21705388778766338
embryonic cranial skeleton morphogenesis (GO:0048701),"['PDGFRA', 'LHX1']",0.23061508054620936
membrane raft organization (GO:0031579),"['FA2H', 'ABCA7']",0.23061508054620936
myoblast differentiation (GO:0045445),"['TCF7L2', 'EPAS1']",0.23061508054620936
kidney development (GO:0001822),"['SALL1', 'LHX1', 'LRP4', 'VEGFA']",0.23250704032579406
regulation of phosphatidylinositol 3-kinase signaling (GO:0014066),"['PDGFRA', 'ERBB3', 'UNC5B', 'GAB1', 'EGFR']",0.23803176053535974
digestive tract development (GO:0048565),"['EDNRB', 'SALL1', 'GLI3']",0.23803176053535974
negative regulation of neuron apoptotic process (GO:0043524),"['MAG', 'ERBB3', 'UNC5B', 'TYRO3']",0.23803176053535974
phosphatidylinositol-mediated signaling (GO:0048015),"['PDGFRA', 'ERBB3', 'TYRO3', 'ZFP36L1']",0.23803176053535974
positive regulation of neurogenesis (GO:0050769),"['METRN', 'PLXNB3', 'SOX8', 'VEGFA']",0.24521012598344508
carboxylic acid transmembrane transport (GO:1905039),"['SLC7A11', 'SLC7A10', 'SLC38A3']",0.24521012598344508
visual system development (GO:0150063),"['SOX2', 'MEIS1', 'MEIS2']",0.24521012598344508
negative regulation of cell-cell adhesion (GO:0022408),"['NOTCH1', 'MBP', 'VEGFA']",0.24521012598344508
negative regulation of platelet activation (GO:0010544),"['PDGFRA', 'CD9']",0.24521012598344508
platelet-derived growth factor receptor signaling pathway (GO:0048008),"['PDGFRA', 'NR4A3']",0.24521012598344508
positive regulation of epithelial to mesenchymal transition (GO:0010718),"['TCF7L2', 'DAB2', 'NOTCH1']",0.259600592603113
negative regulation of Wnt signaling pathway (GO:0030178),"['SOX2', 'TCF7L2', 'DAB2', 'FRMD8', 'LRP4', 'GLI3', 'NKD1']",0.26383748816825525
regulation of neuroblast proliferation (GO:1902692),"['PTN', 'VEGFA']",0.2644905231468763
regulation of stem cell proliferation (GO:0072091),"['GJA1', 'ZFP36L1']",0.2644905231468763
mesonephric tubule development (GO:0072164),"['SALL1', 'LHX1']",0.2644905231468763
positive regulation of smooth muscle cell migration (GO:0014911),"['DOCK5', 'NR4A3']",0.2644905231468763
positive regulation of stem cell differentiation (GO:2000738),"['PTN', 'SOX6']",0.2644905231468763
substantia nigra development (GO:0021762),"['PLP1', 'PADI2', 'MBP']",0.2644905231468763
positive regulation of phospholipase C activity (GO:0010863),"['PDGFRA', 'LPAR1', 'EGFR']",0.2644905231468763
positive regulation of cellular process (GO:0048522),"['PDGFRA', 'NOTCH1', 'MYRF', 'MLC1', 'ABCA7', 'PTN', 'MEIS2', 'EGFR', 'POU3F3', 'VEGFA', 'ZFP36L1', 'MEIS1', 'ERBB3', 'TRIM13', 'HES1', 'HES5']",0.26905070754748217
positive regulation of metabolic process (GO:0009893),"['GJA1', 'GATM', 'EPAS1', 'OXT', 'VEGFA']",0.2721764118690752
embryonic organ morphogenesis (GO:0048562),"['PDGFRA', 'HES1', 'DSCAML1']",0.2721764118690752
phosphatidylcholine metabolic process (GO:0046470),"['ENPP2', 'MBOAT1', 'PLA2G4A', 'PLAAT3']",0.2721764118690752
positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068),"['PDGFRA', 'ERBB3', 'UNC5B', 'GAB1']",0.2721764118690752
positive regulation of kinase activity (GO:0033674),"['PDGFRA', 'RASSF2', 'ERBB3', 'TYRO3', 'EGFR']",0.2721764118690752
acidic amino acid transport (GO:0015800),"['GJA1', 'SLC1A3']",0.2721764118690752
regulation of platelet aggregation (GO:0090330),"['CD9', 'PRKCQ']",0.2721764118690752
embryonic digit morphogenesis (GO:0042733),"['SALL1', 'GLI3']",0.2721764118690752
fluid transport (GO:0042044),"['AQP4', 'AVP']",0.2721764118690752
long-chain fatty-acyl-CoA biosynthetic process (GO:0035338),"['ACSBG1', 'ELOVL7']",0.2721764118690752
water transport (GO:0006833),"['AQP4', 'AVP']",0.2721764118690752
phosphatidylinositol acyl-chain remodeling (GO:0036149),"['PLA2G4A', 'PLAAT3']",0.2721764118690752
positive chemotaxis (GO:0050918),"['PLXNB3', 'VEGFA']",0.2721764118690752
amino acid transmembrane transport (GO:0003333),"['SLC7A11', 'SLC7A10', 'SLC38A3']",0.2732626522909688
