path_name,adj_p_val,cluster
Neuroblasts,0.018854969026154085,C3
Neural Stem/Precursor Cells,0.02184908823023113,C3
Pinealocytes,0.02184908823023113,C3
Radial Glia Cells,0.027476764804261995,C3
Oligodendrocyte Progenitor Cells,0.03878133157180827,C3
Hematopoietic Stem Cells,0.0398698335554583,C3
Gamma (PP) Cells,0.0398698335554583,C3
Leydig Cells,0.06319497006641041,C3
Chondrocytes,0.06319497006641041,C3
His Bundle Cells,0.06557303320177094,C3
Adipocytes,0.07054672241515679,C3
Cholinergic Neurons,0.07054672241515679,C3
Enteric Glia Cells,0.09025906954892483,C3
Olfactory Epithelial Cells,0.09128714004785707,C3
Satellite Glial Cells,0.09312577317411781,C3
Taste Receptor Cells,0.09329680953277168,C3
Tanycytes,0.10458922168357315,C3
Oligodendrocytes,0.10458922168357315,C3
Stromal Cells,0.10980909448915699,C3
Mesothelial Cells,0.1650902579612061,C3
Osteoclasts,0.1650902579612061,C3
Astrocytes,0.1964532602129132,C3
Airway Smooth Muscle Cells,0.2055562195222656,C3
Pulmonary Vascular Smooth Muscle Cells,0.2055562195222656,C3
Trophoblast Stem Cells,0.2055562195222656,C3
Glycinergic Neurons,0.2061287014735783,C3
Juxtaglomerular Cells,0.21630964089504054,C3
Smooth Muscle Cells,0.22560356232356055,C3
Enterochromaffin Cells,0.23669728348886546,C3
Embryonic Stem Cells,0.23790051563278367,C3
Endothelial Cells,0.23790051563278367,C3
Retinal Progenitor Cells,0.23790051563278367,C3
Peri-islet Schwann Cells,0.24308295577318587,C3
Meningeal Cells,0.24350540848824723,C3
Podocytes,0.2490407118541193,C3
Intercalated Cells,0.2490407118541193,C3
Glomus Cells,0.28728315709195656,C3
T Memory Cells,0.3116595698971163,C3
Schwann Cells,0.3311754883598363,C3
Mesangial Cells,0.37587106693881817,C3
Plasmacytoid Dendritic Cells,0.3800639866161938,C3
Pericytes,0.3940798844240781,C3
Fibroblasts,0.3940798844240781,C3
Endothelial Cells (Aorta),0.532244082823435,C3
Kidney Progenitor Cells,0.532244082823435,C3
Epiblast Cells,0.5421003509206143,C3
Crypt Cells,0.5421003509206143,C3
Motor Neurons,0.5421003509206143,C3
Parietal Cells,0.5421003509206143,C3
Choroid Plexus Cells,0.5704362931745326,C3
Enterocytes,0.5704362931745326,C3
Macrophages,0.5704362931745326,C3
Myoblasts,0.6057939756401989,C3
Hepatic Stellate Cells,0.6336413347651854,C3
Pulmonary Alveolar Type II Cells,0.6405333898231568,C3
Principal Cells,0.6405333898231568,C3
Mast Cells,0.669067864714906,C3
Myocytes,0.7688377013384867,C3
Basophils,0.7892724324125623,C3
Cardiomyocytes,0.8037605017016798,C3
B Cells,0.8038906155009735,C3
Dendritic Cells,0.8038906155009735,C3
Osteocytes,0.8038906155009735,C3
Platelets,0.8038906155009735,C3
Myofibroblasts,0.8038906155009735,C3
Epithelial Cells,0.8038906155009735,C3
Reticulocytes,0.8038906155009735,C3
Trichocytes,0.8038906155009735,C3
Noradrenergic Neurons,0.8038906155009735,C3
Salivary Mucous Cells,0.8038906155009735,C3
Adrenergic Neurons,0.8038906155009735,C3
Parathyroid Chief Cells,0.8038906155009735,C3
Spermatocytes,0.8038906155009735,C3
Osteoclast Precursor Cells,0.8038906155009735,C3
Spermatozoa,0.8038906155009735,C3
Gastric Chief Cells,0.8038906155009735,C3
Follicular Cells,0.8038906155009735,C3
Nuocytes,0.8038906155009735,C3
Merkel Cells,0.8038906155009735,C3
Pancreatic Stellate Cells,0.8038906155009735,C3
Cardiac Stem And Precursor Cells,0.8038906155009735,C3
Foveolar Cells,0.8038906155009735,C3
Hepatoblasts,0.8038906155009735,C3
Adipocyte Progenitor Cells,0.8038906155009735,C3
Myoepithelial Cells,0.8038906155009735,C3
T Regulatory Cells,0.8038906155009735,C3
Peritubular Myoid Cells,0.8038906155009735,C3
Alveolar Macrophages,0.8038906155009735,C3
Erythroblasts,0.8038906155009735,C3
Trophoblast Cells,0.8038906155009735,C3
Pulmonary Alveolar Type I Cells,0.8038906155009735,C3
Ductal Cells,0.8038906155009735,C3
Paneth Cells,0.8038906155009735,C3
Melanocytes,0.8038906155009735,C3
Mammary Epithelial Cells,0.8038906155009735,C3
Distal Tubule Cells,0.8041184499590007,C3
Satellite Cells,0.8041184499590007,C3
Megakaryocytes,0.8044312376240929,C3
Loop Of Henle Cells,0.8044312376240929,C3
M?ller Cells,0.8044312376240929,C3
Erythroid-like And Erythroid Precursor Cells,0.8074666683613703,C3
Osteoblasts,0.8074666683613703,C3
T Cells,0.8237121115465581,C3
Monocytes,0.8373420725690435,C3
Hepatocytes,0.8928451496713368,C3
Astrocytes,8.95376683726065e-39,C4
Bergmann Glia,4.3508561494097893e-26,C4
M?ller Cells,7.488041358628137e-17,C4
Enteric Glia Cells,1.946944871946631e-10,C4
Satellite Glial Cells,2.256394399157371e-10,C4
Radial Glia Cells,2.7620354853508343e-09,C4
Leydig Cells,4.286258178654967e-09,C4
Oligodendrocytes,5.766164564629711e-09,C4
Schwann Cells,2.0337578488805146e-08,C4
Chondrocytes,3.6702363739888573e-08,C4
Myofibroblasts,7.879554035332718e-07,C4
Melanocytes,1.1300124906768371e-06,C4
Mast Cells,1.1690171302537184e-06,C4
Mesothelial Cells,2.1814192445137356e-06,C4
Pericytes,4.278890585777063e-06,C4
Sertoli Cells,4.860044844244652e-06,C4
Adipocyte Progenitor Cells,1.897660498117759e-05,C4
Podocytes,1.939104301921366e-05,C4
Neural Stem/Precursor Cells,2.2540492823234954e-05,C4
Osteoblasts,2.408245651359254e-05,C4
Fibroblasts,2.615005802314699e-05,C4
Stromal Cells,2.7387689746970697e-05,C4
Oligodendrocyte Progenitor Cells,2.798811941606199e-05,C4
Hepatic Stellate Cells,4.190952103887846e-05,C4
Satellite Cells,6.119213303070968e-05,C4
Spermatozoa,6.858904683225528e-05,C4
Loop Of Henle Cells,8.883305260499306e-05,C4
Mesangial Cells,9.042818931639989e-05,C4
Choroid Plexus Cells,0.00011034127754143259,C4
Adipocytes,0.00023238406548112893,C4
Smooth Muscle Cells,0.00023238406548112893,C4
Osteocytes,0.0002472325699482758,C4
Pancreatic Stellate Cells,0.0005276966061523214,C4
Meningeal Cells,0.0006389136628842336,C4
Glomus Cells,0.0011446924375710411,C4
Pulmonary Vascular Smooth Muscle Cells,0.0018287606503336789,C4
Vascular Smooth Muscle Cells,0.0021969276601181043,C4
Crypt Cells,0.003024980804455168,C4
Parietal Cells,0.0030903266260412067,C4
Retinal Progenitor Cells,0.0031575544627522305,C4
Tanycytes,0.004596140147216758,C4
Gamma (PP) Cells,0.005978234935947491,C4
Oxyphil Cells,0.008100604405902547,C4
Purkinje Fiber Cells,0.011267849253147805,C4
Kidney Progenitor Cells,0.012470141411848898,C4
Enterochromaffin Cells,0.014295777552218045,C4
Endothelial Cells (Blood Brain Barrier),0.016282636359650066,C4
Pancreatic Progenitor Cells,0.01654240771662844,C4
Myoepithelial Cells,0.016806950274039473,C4
Peritubular Myoid Cells,0.019654376958253512,C4
Luteal Cells,0.02278878491260057,C4
Myoblasts,0.023089930741589108,C4
Immature Neurons,0.030601895848768334,C4
Endothelial Cells,0.030601895848768334,C4
Distal Tubule Cells,0.030601895848768334,C4
Photoreceptor Cells,0.04184478165498349,C4
Granulosa Cells,0.0627946606294564,C4
GABAergic Neurons,0.06349245355131417,C4
Peri-islet Schwann Cells,0.06419660687823853,C4
Pulmonary Alveolar Type I Cells,0.09745956222452466,C4
Osteoclasts,0.12745441534197624,C4
His Bundle Cells,0.1663390202497592,C4
Interneurons,0.18800660602740263,C4
Glutaminergic Neurons,0.197366398564707,C4
Cardiomyocytes,0.20376253307747294,C4
Red Pulp Macrophages,0.20376253307747294,C4
Cardiac Stem And Precursor Cells,0.21322451904731068,C4
Intercalated Cells,0.2283644146452418,C4
Endothelial Cells (Aorta),0.2283644146452418,C4
Neuroendocrine Cells,0.2459910207720225,C4
Microfold Cells,0.2554751670424768,C4
Delta Cells,0.2737220229524028,C4
Cholangiocytes,0.2831570624739356,C4
Alpha Cells,0.28811304958206735,C4
Kupffer Cells,0.28863606165133643,C4
Epsilon Cells,0.28916576872208566,C4
Platelets,0.29755948795645076,C4
Trigeminal Neurons,0.30744916641344916,C4
Neuroblasts,0.30987009992376335,C4
Hepatocytes,0.30987009992376335,C4
Purkinje Neurons,0.3429454004718658,C4
Retinal Ganglion Cells,0.377836797014434,C4
Basophils,0.39509272948513163,C4
Hematopoietic Stem Cells,0.4258722671642396,C4
Glycinergic Neurons,0.4258722671642396,C4
Parathyroid Chief Cells,0.4563322312892987,C4
Undefined Placental Cells,0.46273671593564897,C4
Gastric Chief Cells,0.46323119257825623,C4
Taste Receptor Cells,0.4879796970510573,C4
Dendritic Cells,0.4879796970510573,C4
Thymocytes,0.4977269796508425,C4
Macrophages,0.4977269796508425,C4
Pyramidal Cells,0.5510133044911085,C4
Anterior Pituitary Gland Cells,0.5526540878552316,C4
Mammary Epithelial Cells,0.5526540878552316,C4
Pulmonary Alveolar Type II Cells,0.5526540878552316,C4
Ependymal Cells,0.5526540878552316,C4
Tuft Cells,0.5526540878552316,C4
Microglia,0.6507798030227869,C4
Myocytes,0.664307126100816,C4
Proximal Tubule Cells,0.664307126100816,C4
Enteric Neurons,0.6663787897015006,C4
Cajal-Retzius Cells,0.693231239748923,C4
Embryonic Stem Cells,0.694644021744313,C4
Neurons,0.7231659411345818,C4
Airway Smooth Muscle Cells,0.7999494326201935,C4
Cholinergic Neurons,0.7999494326201935,C4
Juxtaglomerular Cells,0.7999494326201935,C4
Reticulocytes,0.7999494326201935,C4
Trichocytes,0.7999494326201935,C4
Adrenergic Neurons,0.7999494326201935,C4
Urothelial Cells,0.7999494326201935,C4
Ionocytes,0.7999494326201935,C4
Motor Neurons,0.8012540737907033,C4
Myeloid-derived Suppressor Cells,0.8012540737907033,C4
Clara Cells,0.8012540737907033,C4
Natural Killer T Cells,0.8012540737907033,C4
Dopaminergic Neurons,0.8012540737907033,C4
Transient Cells,0.8012540737907033,C4
Chromaffin Cells,0.8012540737907033,C4
Alveolar Macrophages,0.8012540737907033,C4
Sebocytes,0.8012540737907033,C4
Keratinocytes,0.8042758021671078,C4
Trophoblast Cells,0.8064303401628997,C4
Ductal Cells,0.8064303401628997,C4
Principal Cells,0.8108045408861885,C4
Basal Cells,0.8108045408861885,C4
Megakaryocytes,0.8108045408861885,C4
Beta Cells,0.8108045408861885,C4
B Cells Memory,0.8108045408861885,C4
T Helper Cells,0.8108045408861885,C4
Neutrophils,0.8116402699265352,C4
Plasma Cells,0.8371924890704421,C4
Monocytes,0.8494003451859135,C4
B Cells,0.853244828349936,C4
Epithelial Cells,0.8939286521843741,C4
Germ Cells,0.8939286521843741,C4
Delta Cells,0.0001048128419237552,C5
Beta Cells,0.00013271595543916452,C5
Enteroendocrine Cells,0.0004838793974447846,C5
Interneurons,0.0019756272593882125,C5
Taste Receptor Cells,0.004122625386785857,C5
Chromaffin Cells,0.004952943654089798,C5
Enteric Neurons,0.005056770081027129,C5
Anterior Pituitary Gland Cells,0.006291602105661356,C5
Photoreceptor Cells,0.011026922746181996,C5
Pyramidal Cells,0.025771056701871423,C5
Neurons,0.030601826401213464,C5
Trigeminal Neurons,0.035785727383187714,C5
GABAergic Neurons,0.05586013933602578,C5
Neuroendocrine Cells,0.07373714752192885,C5
Alpha Cells,0.10275463460170979,C5
Epsilon Cells,0.10275463460170979,C5
Parathyroid Chief Cells,0.16286036886048927,C5
Glutaminergic Neurons,0.16286036886048927,C5
Motor Neurons,0.17368932791487182,C5
Hematopoietic Stem Cells,0.2177580279583769,C5
Myoblasts,0.23440633444203884,C5
Satellite Cells,0.30181849718685594,C5
Adipocytes,0.34017701888314283,C5
Oxyphil Cells,0.35757557362561265,C5
Purkinje Neurons,0.35757557362561265,C5
Hepatocytes,0.35757557362561265,C5
Purkinje Fiber Cells,0.3836990172196214,C5
Retinal Ganglion Cells,0.3836990172196214,C5
Smooth Muscle Cells,0.3910726870531523,C5
Adrenergic Neurons,0.3910726870531523,C5
Enterochromaffin Cells,0.3950098031314271,C5
Crypt Cells,0.3950098031314271,C5
Cardiac Stem And Precursor Cells,0.3950098031314271,C5
Hepatoblasts,0.3950098031314271,C5
Radial Glia Cells,0.3950098031314271,C5
Natural Killer T Cells,0.403323956909015,C5
Thymocytes,0.403323956909015,C5
Luteal Cells,0.44524565826072177,C5
Gamma (PP) Cells,0.45647281771394166,C5
Bergmann Glia,0.47509603151025015,C5
Osteoclasts,0.5441936773529961,C5
Chondrocytes,0.5441936773529961,C5
Neuroblasts,0.5441936773529961,C5
Mesangial Cells,0.5465880749696237,C5
Osteoblasts,0.5620354734638614,C5
Pericytes,0.5620354734638614,C5
Fibroblasts,0.5620354734638614,C5
Sertoli Cells,0.5700945143392451,C5
Proximal Tubule Cells,0.59483228310863,C5
T Cells,0.59483228310863,C5
Cardiomyocytes,0.6441439704962757,C5
Monocytes,0.6451733766159146,C5
Cholinergic Neurons,0.6492517639067423,C5
T Cells Naive,0.6492517639067423,C5
Noradrenergic Neurons,0.6492517639067423,C5
Podocytes,0.6492517639067423,C5
Epiblast Cells,0.6606848026844987,C5
T Follicular Helper Cells,0.6606848026844987,C5
Pancreatic Stellate Cells,0.6606848026844987,C5
Parietal Cells,0.6606848026844987,C5
Clara Cells,0.6655549216149332,C5
Adipocyte Progenitor Cells,0.670233473495656,C5
T Regulatory Cells,0.6747249260866619,C5
Tanycytes,0.6938384142561776,C5
Glomus Cells,0.7265811829554736,C5
T Memory Cells,0.7533595257495087,C5
Mammary Epithelial Cells,0.7533595257495087,C5
Immature Neurons,0.7557764146925344,C5
Schwann Cells,0.7580532769328028,C5
Megakaryocytes,0.7603546659116348,C5
Leydig Cells,0.7603546659116348,C5
B Cells Memory,0.7603546659116348,C5
Loop Of Henle Cells,0.7603546659116348,C5
T Helper Cells,0.7603546659116348,C5
B Cells Naive,0.7603546659116348,C5
Endothelial Cells,0.7603546659116348,C5
Neural Stem/Precursor Cells,0.7603546659116348,C5
Astrocytes,0.7617447185732562,C5
NK Cells,0.768453441823961,C5
B Cells,0.7999915123123015,C5
Endothelial Cells (Aorta),0.7999915123123015,C5
Dendritic Cells,0.7999915123123015,C5
His Bundle Cells,0.7999915123123015,C5
Osteocytes,0.7999915123123015,C5
Airway Smooth Muscle Cells,0.7999915123123015,C5
Platelets,0.7999915123123015,C5
Glycinergic Neurons,0.7999915123123015,C5
Myofibroblasts,0.7999915123123015,C5
T Cytotoxic Cells,0.7999915123123015,C5
Trophoblast Progenitor Cells,0.7999915123123015,C5
Vascular Smooth Muscle Cells,0.7999915123123015,C5
Kidney Progenitor Cells,0.7999915123123015,C5
Germ Cells,0.7999915123123015,C5
Decidual Cells,0.7999915123123015,C5
Urothelial Cells,0.7999915123123015,C5
Pinealocytes,0.7999915123123015,C5
Olfactory Epithelial Cells,0.7999915123123015,C5
Spermatozoa,0.7999915123123015,C5
Undefined Placental Cells,0.7999915123123015,C5
Gastric Chief Cells,0.7999915123123015,C5
Nuocytes,0.7999915123123015,C5
Enteric Glia Cells,0.7999915123123015,C5
Merkel Cells,0.7999915123123015,C5
Pluripotent Stem Cells,0.7999915123123015,C5
Retinal Progenitor Cells,0.7999915123123015,C5
Pancreatic Progenitor Cells,0.7999915123123015,C5
Satellite Glial Cells,0.7999915123123015,C5
Mast Cells,0.7999915123123015,C5
Meningeal Cells,0.7999915123123015,C5
Airway Goblet Cells,0.7999915123123015,C5
Dopaminergic Neurons,0.7999915123123015,C5
Peritubular Myoid Cells,0.7999915123123015,C5
Transient Cells,0.7999915123123015,C5
Alveolar Macrophages,0.7999915123123015,C5
Stromal Cells,0.7999915123123015,C5
Oligodendrocyte Progenitor Cells,0.7999915123123015,C5
Eosinophils,0.7999915123123015,C5
Trophoblast Cells,0.7999915123123015,C5
Hepatic Stellate Cells,0.7999915123123015,C5
Melanocytes,0.7999915123123015,C5
Luminal Epithelial Cells,0.810411762198163,C5
Mesothelial Cells,0.810411762198163,C5
Gamma Delta T Cells,0.810411762198163,C5
M?ller Cells,0.810411762198163,C5
Plasmacytoid Dendritic Cells,0.8109917247927365,C5
Microglia,0.8222378362538453,C5
Plasma Cells,0.8311435891244633,C5
Basophils,0.8311435891244633,C5
Embryonic Stem Cells,0.8372406503218816,C5
Enterocytes,0.8713466499544589,C5
Interneurons,6.33634131998439e-11,C6
Anterior Pituitary Gland Cells,6.12725143259647e-07,C6
Cajal-Retzius Cells,8.129316479403845e-06,C6
Photoreceptor Cells,8.358360212514775e-05,C6
Stromal Cells,0.00011258939317878756,C6
Pyramidal Cells,0.00013827258066037096,C6
Immature Neurons,0.00017113253757132757,C6
Beta Cells,0.0002510236968017441,C6
GABAergic Neurons,0.00025790138251125406,C6
Osteoblasts,0.0003245069186412944,C6
Gamma (PP) Cells,0.0004878584348238344,C6
Enteric Neurons,0.0004878584348238344,C6
Vascular Smooth Muscle Cells,0.0007808342032657288,C6
Chondrocytes,0.001031149411201253,C6
Taste Receptor Cells,0.0013530667936117687,C6
Tanycytes,0.0017383571265341547,C6
Delta Cells,0.0026594635726706044,C6
Pulmonary Vascular Smooth Muscle Cells,0.0034172461787257066,C6
Neurons,0.004423035743101433,C6
M?ller Cells,0.004423035743101433,C6
Glutaminergic Neurons,0.004423035743101433,C6
Epiblast Cells,0.004653557717738498,C6
Purkinje Neurons,0.005357197234886226,C6
Melanocytes,0.011861135508315824,C6
Alpha Cells,0.0127006176305221,C6
Distal Tubule Cells,0.0127006176305221,C6
Trigeminal Neurons,0.015194612337088695,C6
Myofibroblasts,0.015194612337088695,C6
Pancreatic Stellate Cells,0.022111913220773154,C6
Parietal Cells,0.022111913220773154,C6
Peri-islet Schwann Cells,0.02318352030359606,C6
